OMP_ST:71195_!_Escherichia coli K-12 GSO226
OMP_ST:71196_!_Escherichia coli K-12 GSO227
OMP_ST:71197_!_Escherichia coli K-12 GSO228
OMP_ST:71198_!_Escherichia coli K-12 GSO229
OMP_ST:71199_!_Escherichia coli K-12 GSO230
OMP_ST:71200_!_Escherichia coli K-12 GSO232
OMP_ST:71201_!_Escherichia coli K-12 GSO233
OMP_ST:71202_!_Escherichia coli K-12 GSO234
OMP_ST:71203_!_Escherichia coli K-12 GSO236
OMP_ST:71204_!_Escherichia coli K-12 GSO237
OMP_ST:71205_!_Escherichia coli K-12 GSO239
OMP_ST:71206_!_Escherichia coli K-12 GSO240
OMP_ST:71207_!_Escherichia coli K-12 GSO241
OMP_ST:71208_!_Escherichia coli K-12 GSO242
OMP_ST:71209_!_Escherichia coli K-12 GSO243
OMP_ST:71210_!_Escherichia coli K-12 GSO245
OMP_ST:71211_!_Escherichia coli K-12 GSO248
OMP_ST:71212_!_Escherichia coli K-12 GSO249
OMP_ST:71213_!_Escherichia coli K-12 GSO254
OMP_ST:71214_!_Escherichia coli K-12 JW0004
OMP_ST:71215_!_Escherichia coli K-12 JW0005
OMP_ST:71216_!_Escherichia coli K-12 JW0006
OMP_ST:71217_!_Escherichia coli K-12 JW0007
OMP_ST:71218_!_Escherichia coli K-12 JW0008
OMP_ST:71219_!_Escherichia coli K-12 JW0010
OMP_ST:71220_!_Escherichia coli K-12 JW0012
OMP_ST:71221_!_Escherichia coli K-12 JW0014
OMP_ST:71222_!_Escherichia coli K-12 JW0018
OMP_ST:71223_!_Escherichia coli K-12 JW0019
OMP_ST:71224_!_Escherichia coli K-12 JW0022
OMP_ST:71225_!_Escherichia coli K-12 JW0028
OMP_ST:71226_!_Escherichia coli K-12 JW0030
OMP_ST:71227_!_Escherichia coli K-12 JW0031
OMP_ST:71228_!_Escherichia coli K-12 JW0033
OMP_ST:71229_!_Escherichia coli K-12 JW0035
OMP_ST:71230_!_Escherichia coli K-12 JW0036
OMP_ST:71231_!_Escherichia coli K-12 JW0037
OMP_ST:71232_!_Escherichia coli K-12 JW0038
OMP_ST:71233_!_Escherichia coli K-12 JW0039
OMP_ST:71234_!_Escherichia coli K-12 JW0040
OMP_ST:71235_!_Escherichia coli K-12 JW0041
OMP_ST:71236_!_Escherichia coli K-12 JW0042
OMP_ST:71237_!_Escherichia coli K-12 JW0043
OMP_ST:71238_!_Escherichia coli K-12 JW0044
OMP_ST:71239_!_Escherichia coli K-12 JW0045
OMP_ST:71240_!_Escherichia coli K-12 JW0046
OMP_ST:71241_!_Escherichia coli K-12 JW0048
OMP_ST:71242_!_Escherichia coli K-12 JW0049
OMP_ST:71243_!_Escherichia coli K-12 JW0050
OMP_ST:71244_!_Escherichia coli K-12 JW0051
OMP_ST:71245_!_Escherichia coli K-12 JW0052
